Name,DocumentService,UIName,Flags,Type,Extensions,MediaType
impress_png_Export,com.sun.star.presentation.PresentationDocument,PNG - Portable Network Graphic,EXPORT,png_Portable_Network_Graphic,png,image/png
impress_svg_Export,com.sun.star.presentation.PresentationDocument,SVG - Scalable Vector Graphics,EXPORT,svg_Scalable_Vector_Graphics,svg svgz,image/svg+xml
impress_tif_Export,com.sun.star.presentation.PresentationDocument,TIFF - Tagged Image File Format,EXPORT,tif_Tag_Image_File,tif tiff,image/tiff
impress_wmf_Export,com.sun.star.presentation.PresentationDocument,WMF - Windows Metafile,EXPORT,wmf_MS_Windows_Metafile,wmf,image/x-wmf
StarOffice XML (Base) Report,com.sun.star.report.ReportDefinition,ODF データベースレポート,IMPORT EXPORT DEFAULT,StarBaseReport,orp,application/vnd.sun.xml.report
StarOffice XML (Base),com.sun.star.sdb.OfficeDatabaseDocument,ODF データベース,IMPORT DEFAULT,StarBase,odb,application/vnd.sun.xml.base
ADO Rowset XML,com.sun.star.sheet.SpreadsheetDocument,ADO Rowset XML,IMPORT,calc_ADO_rowset_XML,xml,
Apple Numbers,com.sun.star.sheet.SpreadsheetDocument,Apple Numbers,IMPORT PREFERRED,calc_AppleNumbers,numbers,application/x-iwork-numbers-sffnumbers
Calc MS Excel 2007 Binary,com.sun.star.sheet.SpreadsheetDocument,Microsoft Excel 2007 バイナリ,IMPORT PREFERRED,MS Excel 2007 Binary,xlsb,
Calc MS Excel 2007 VBA XML,com.sun.star.sheet.SpreadsheetDocument,Excel 2007–2019 (マクロ有効),IMPORT EXPORT PREFERRED,MS Excel 2007 VBA XML,xlsm,application/vnd.ms-excel.sheet.macroEnabled.12
Calc MS Excel 2007 XML,com.sun.star.sheet.SpreadsheetDocument,Excel 2007–2019,IMPORT EXPORT PREFERRED,MS Excel 2007 XML,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
Calc MS Excel 2007 XML Template,com.sun.star.sheet.SpreadsheetDocument,Excel 2007–2019 テンプレート,IMPORT,MS Excel 2007 XML Template,xltm xltx,application/vnd.openxmlformats-officedocument.spreadsheetml.template
Calc Office Open XML,com.sun.star.sheet.SpreadsheetDocument,Office Open XML 表計算ドキュメント,IMPORT EXPORT PREFERRED,Office Open XML Spreadsheet,xlsx xlsm,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
Calc Office Open XML Template,com.sun.star.sheet.SpreadsheetDocument,Office Open XML 表計算ドキュメントテンプレート,IMPORT,Office Open XML Spreadsheet Template,xltx xltm,application/vnd.openxmlformats-officedocument.spreadsheetml.template
ClarisWorks_Calc,com.sun.star.sheet.SpreadsheetDocument,ClarisWorks/AppleWorks 表計算ドキュメント,IMPORT PREFERRED,calc_ClarisWorks,cwk,application/clarisworks
Claris_Resolve_Calc,com.sun.star.sheet.SpreadsheetDocument,ClarisResolve ドキュメント,IMPORT PREFERRED,calc_Claris_Resolve,cwk,application/clarisworks
DIF,com.sun.star.sheet.SpreadsheetDocument,Data Interchange Format,IMPORT EXPORT,calc_DIF,dif,
Gnumeric Spreadsheet,com.sun.star.sheet.SpreadsheetDocument,Gnumeric 表計算ドキュメント,IMPORT PREFERRED,Gnumeric XML,gnumeric gnm,application/x-gnumeric
HTML (StarCalc),com.sun.star.sheet.SpreadsheetDocument,HTML ドキュメント (Calc),IMPORT EXPORT,generic_HTML,html xhtml htm,text/html
Lotus,com.sun.star.sheet.SpreadsheetDocument,Lotus 1-2-3,IMPORT PREFERRED,calc_Lotus,wk1 wks 123,application/vnd.lotus-1-2-3
MS Excel 2003 XML,com.sun.star.sheet.SpreadsheetDocument,Microsoft Excel 2003 XML,EXPORT,calc_MS_Excel_2003_XML,xml xls,
MS Excel 2003 XML Orcus,com.sun.star.sheet.SpreadsheetDocument,Microsoft Excel 2003 XML,IMPORT PREFERRED,calc_MS_Excel_2003_XML,xml xls,
MS Excel 4.0,com.sun.star.sheet.SpreadsheetDocument,Microsoft Excel 4.0,IMPORT PREFERRED,calc_MS_Excel_40,xls xlw xlc xlm,application/vnd.ms-excel
MS Excel 4.0 Vorlage/Template,com.sun.star.sheet.SpreadsheetDocument,Microsoft Excel 4.0 テンプレート,IMPORT,calc_MS_Excel_40_VorlageTemplate,xlt,application/vnd.ms-excel
MS Excel 5.0/95,com.sun.star.sheet.SpreadsheetDocument,Microsoft Excel 5.0,IMPORT PREFERRED,calc_MS_Excel_5095,xls xlc xlm xlw,application/vnd.ms-excel
MS Excel 5.0/95 Vorlage/Template,com.sun.star.sheet.SpreadsheetDocument,Microsoft Excel 5.0 テンプレート,IMPORT,calc_MS_Excel_5095_VorlageTemplate,xlt,application/vnd.ms-excel
MS Excel 95,com.sun.star.sheet.SpreadsheetDocument,Microsoft Excel 95,IMPORT PREFERRED,calc_MS_Excel_95,xls xlc xlm xlw,application/vnd.ms-excel
MS Excel 95 Vorlage/Template,com.sun.star.sheet.SpreadsheetDocument,Microsoft Excel 95 テンプレート,IMPORT,calc_MS_Excel_95_VorlageTemplate,xlt,application/vnd.ms-excel
MS Excel 97,com.sun.star.sheet.SpreadsheetDocument,Excel 97–2003,IMPORT EXPORT PREFERRED,calc_MS_Excel_97,xls xlc xlm xlw xlk et,application/vnd.ms-excel
MS Excel 97 Vorlage/Template,com.sun.star.sheet.SpreadsheetDocument,Excel 97–2003 テンプレート,IMPORT EXPORT,calc_MS_Excel_97_VorlageTemplate,xlt ett,application/vnd.ms-excel
MS_Works_Calc,com.sun.star.sheet.SpreadsheetDocument,Microsoft Works ドキュメント,IMPORT,calc_MS_Works_Document,wks wdb,
MWAW_Database,com.sun.star.sheet.SpreadsheetDocument,古いMacのデータベース,IMPORT PREFERRED,MWAW_Database,*,
MWAW_Spreadsheet,com.sun.star.sheet.SpreadsheetDocument,古いMacの表計算,IMPORT PREFERRED,MWAW_Spreadsheet,*,
Mac_Works_Calc,com.sun.star.sheet.SpreadsheetDocument,Microsoft Works for Mac 表計算ドキュメント (v1 - v4),IMPORT PREFERRED,calc_Mac_Works,wps,application/vnd.ms-works
Microsoft Multiplan,com.sun.star.sheet.SpreadsheetDocument,Microsoft Multiplan,IMPORT PREFERRED,calc_MS_Multiplan,mp,
OpenDocument Spreadsheet Flat XML,com.sun.star.sheet.SpreadsheetDocument,Flat XML ODF 表計算ドキュメント,IMPORT EXPORT,calc_ODS_FlatXML,fods ods xml,application/vnd.oasis.opendocument.spreadsheet-flat-xml
Quattro Pro 6.0,com.sun.star.sheet.SpreadsheetDocument,Quattro Pro 6.0,IMPORT PREFERRED,calc_QPro,wb2,
Rich Text Format (StarCalc),com.sun.star.sheet.SpreadsheetDocument,Rich Text Format (Calc),IMPORT,writer_Rich_Text_Format,rtf,application/rtf
SYLK,com.sun.star.sheet.SpreadsheetDocument,SYLK,IMPORT EXPORT,calc_SYLK,slk sylk,text/spreadsheet
StarOffice XML (Calc),com.sun.star.sheet.SpreadsheetDocument,OpenOffice.org 1.0 表計算ドキュメント,IMPORT,calc_StarOffice_XML_Calc,sxc,application/vnd.sun.xml.calc
StarOffice_Spreadsheet,com.sun.star.sheet.SpreadsheetDocument,古い StarOffice 表計算ドキュメント,IMPORT PREFERRED,StarOffice_Spreadsheet,sdc,
Text - txt - csv (StarCalc),com.sun.star.sheet.SpreadsheetDocument,テキスト CSV,IMPORT EXPORT,generic_Text,csv tsv tab txt,text/plain
UOF spreadsheet,com.sun.star.sheet.SpreadsheetDocument,Unified Office Format 表計算ドキュメント,IMPORT EXPORT,Unified_Office_Format_spreadsheet,uos uof,
WPS_Lotus_Calc,com.sun.star.sheet.SpreadsheetDocument,Lotus ドキュメント,IMPORT,calc_WPS_Lotus_Document,wk1 wk3 wk4 123,
WPS_QPro_Calc,com.sun.star.sheet.SpreadsheetDocument,QuattroPro ドキュメント,IMPORT,calc_WPS_QPro_Document,wb1 wb2 wq1 wq2,
XHTML Calc File,com.sun.star.sheet.SpreadsheetDocument,XHTML,EXPORT,XHTML_File,html xhtml,application/xhtml+xml
calc8,com.sun.star.sheet.SpreadsheetDocument,ODF 表計算ドキュメント,IMPORT EXPORT DEFAULT,calc8,ods,application/vnd.oasis.opendocument.spreadsheet
calc8_template,com.sun.star.sheet.SpreadsheetDocument,ODF 表計算ドキュメントテンプレート,IMPORT EXPORT,calc8_template,ots,application/vnd.oasis.opendocument.spreadsheet-template
calc_HTML_WebQuery,com.sun.star.sheet.SpreadsheetDocument,Webページ クエリー (Calc),IMPORT PREFERRED,generic_HTML,html xhtml htm,text/html
calc_StarOffice_XML_Calc_Template,com.sun.star.sheet.SpreadsheetDocument,OpenOffice.org 1.0 表計算ドキュメントテンプレート,IMPORT,calc_StarOffice_XML_Calc_Template,stc,application/vnd.sun.xml.calc.template
calc_jpg_Export,com.sun.star.sheet.SpreadsheetDocument,JPEG - Joint Photographic Experts Group,EXPORT,jpg_JPEG,jpg jpeg jfif jif jpe,image/jpeg
calc_pdf_Export,com.sun.star.sheet.SpreadsheetDocument,PDF - Portable Document Format,EXPORT,pdf_Portable_Document_Format,pdf,application/pdf
calc_pdf_addstream_import,com.sun.star.sheet.SpreadsheetDocument,PDF - Portable Document Format,IMPORT,pdf_Portable_Document_Format,pdf,application/pdf
calc_png_Export,com.sun.star.sheet.SpreadsheetDocument,PNG - Portable Network Graphic,EXPORT,png_Portable_Network_Graphic,png,image/png
dBase,com.sun.star.sheet.SpreadsheetDocument,dBASE,IMPORT EXPORT,calc_dBase,dbf,
Text (encoded) (StarWriter/GlobalDocument),com.sun.star.text.GlobalDocument,文書 - エンコードの選択 (マスタードキュメント),IMPORT EXPORT,generic_Text,csv tsv tab txt,text/plain
writer_globaldocument_StarOffice_XML_Writer,com.sun.star.text.GlobalDocument,OpenOffice.org 1.0 文書ドキュメント,,writer_StarOffice_XML_Writer,sxw,application/vnd.sun.xml.writer
writer_globaldocument_StarOffice_XML_Writer_GlobalDocument,com.sun.star.text.GlobalDocument,OpenOffice.org 1.0 マスタードキュメント,IMPORT PREFERRED,writer_globaldocument_StarOffice_XML_Writer_GlobalDocument,sxg,application/vnd.sun.xml.writer.global
writer_globaldocument_pdf_Export,com.sun.star.text.GlobalDocument,PDF - Portable Document Format,EXPORT,pdf_Portable_Document_Format,pdf,application/pdf
writerglobal8,com.sun.star.text.GlobalDocument,ODF マスタードキュメント,IMPORT EXPORT PREFERRED,writerglobal8,odm,application/vnd.oasis.opendocument.text-master
writerglobal8_HTML,com.sun.star.text.GlobalDocument,HTML (Writer/Global),EXPORT,generic_HTML,html xhtml htm,text/html
writerglobal8_template,com.sun.star.text.GlobalDocument,ODF マスタードキュメントテンプレート,IMPORT EXPORT,writerglobal8_template,otm,application/vnd.oasis.opendocument.text-master-template
writerglobal8_writer,com.sun.star.text.GlobalDocument,ODF 文書ドキュメント,EXPORT DEFAULT,writer8,odt,application/vnd.oasis.opendocument.text
